Aberavon,Lab
Aberconwy,Con
Aberdeen North,SNP
Aberdeen South,Con
Airdrie and Shotts,SNP
Aldershot,Con
Aldridge-Brownhills,Con
Altrincham and Sale West,Con
Alyn and Deeside,Lab
Amber Valley,Con
Angus,Con
Arfon,PC
Argyll and Bute,SNP
Arundel and South Downs,Con
Ashfield,Lab
Ashford,Con
Ashton-under-Lyne,Lab
Aylesbury,Con
"Ayr, Carrick and Cumnock",Con
Banbury,Con
Banff and Buchan,Con
Barking,Lab
Barnsley Central,Lab
Barnsley East,Lab
Barrow and Furness,Lab
Basildon and Billericay,Con
Basingstoke,Con
Bassetlaw,Lab
Bath,LD
Batley and Spen,Lab
Battersea,Lab
Beaconsfield,Con
Beckenham,Con
Bedford,Lab
Belfast East,DUP
Belfast North,DUP
Belfast South,DUP
Belfast West,SF
Bermondsey and Old Southwark,Lab
"Berwickshire, Roxburgh and Selkirk",Con
Berwick-upon-Tweed,Con
Bethnal Green and Bow,Lab
Beverley and Holderness,Con
Bexhill and Battle,Con
Bexleyheath and Crayford,Con
Birkenhead,Lab
"Birmingham, Edgbaston",Lab
"Birmingham, Erdington",Lab
"Birmingham, Hall Green",Lab
"Birmingham, Hodge Hill",Lab
"Birmingham, Ladywood",Lab
"Birmingham, Northfield",Lab
"Birmingham, Perry Barr",Lab
"Birmingham, Selly Oak",Lab
"Birmingham, Yardley",Lab
Bishop Auckland,Lab
Blackburn,Lab
Blackley and Broughton,Lab
Blackpool North and Cleveleys,Con
Blackpool South,Lab
Blaenau Gwent,Lab
Blaydon,Lab
Blyth Valley,Lab
Bognor Regis and Littlehampton,Con
Bolsover,Lab
Bolton North East,Lab
Bolton South East,Lab
Bolton West,Con
Bootle,Lab
Boston and Skegness,Con
Bosworth,Con
Bournemouth East,Con
Bournemouth West,Con
Bracknell,Con
Bradford East,Lab
Bradford South,Lab
Bradford West,Lab
Braintree,Con
Brecon and Radnorshire,Con
Brent Central,Lab
Brent North,Lab
Brentford and Isleworth,Lab
Brentwood and Ongar,Con
Bridgend,Lab
Bridgwater and West Somerset,Con
Brigg and Goole,Con
"Brighton, Kemptown",Lab
"Brighton, Pavilion",Grn
Bristol East,Lab
Bristol North West,Lab
Bristol South,Lab
Bristol West,Lab
Broadland,Con
Bromley and Chislehurst,Con
Bromsgrove,Con
Broxbourne,Con
Broxtowe,Con
Buckingham,Spkr
Burnley,Lab
Burton,Con
Bury North,Lab
Bury South,Lab
Bury St Edmunds,Con
Caerphilly,Lab
"Caithness, Sutherland and Easter Ross",LD
Calder Valley,Con
Camberwell and Peckham,Lab
Camborne and Redruth,Con
Cambridge,Lab
Cannock Chase,Con
Canterbury,Lab
Cardiff Central,Lab
Cardiff North,Lab
Cardiff South and Penarth,Lab
Cardiff West,Lab
Carlisle,Con
Carmarthen East and Dinefwr,PC
Carmarthen West and South Pembrokeshire,Con
Carshalton and Wallington,LD
Castle Point,Con
Central Ayrshire,SNP
