Name,Leave
Boston and Skegness,0.7565
Walsall North,0.7419
Clacton,0.7304
South Basildon and East Thurrock,0.73
Kingston upon Hull East,0.7283
Castle Point,0.727
Stoke-on-Trent North,0.7212
Doncaster North,0.7165
Great Yarmouth,0.715
Great Grimsby,0.7145
Dudley North,0.7143
Stoke-on-Trent South,0.7111
South Holland and The Deepings,0.7107
Barnsley East,0.7098
Mansfield,0.7086
Ashfield,0.7047
Dudley South,0.7042
Bolsover,0.7039
Dagenham and Rainham,0.7035
Wentworth and Dearne,0.7028
Thurrock,0.7026
Hartlepool,0.6957
Cleethorpes,0.695
Hornchurch and Upminster,0.6949
North East Cambridgeshire,0.6935
Romford,0.6929
"Normanton, Pontefract and Castleford",0.6926
Louth and Horncastle,0.689
Cannock Chase,0.6886
Scunthorpe,0.6868
West Bromwich West,0.6867
Don Valley,0.6849
Rotherham,0.6835
Bassetlaw,0.6832
Barnsley Central,0.6819
West Bromwich East,0.6818
Wolverhampton South East,0.6814
Hemsworth,0.6813
Kingston upon Hull West and Hessle,0.6799
Blackpool South,0.6781
Aldridge-Brownhills,0.678
North Warwickshire,0.6776
Harlow,0.6773
Wolverhampton North East,0.6771
Redcar,0.6767
Rayleigh and Wickford,0.6765
Basildon and Billericay,0.6714
Blackpool North and Cleveleys,0.6691
Rother Valley,0.6672
Doncaster Central,0.667
South West Norfolk,0.6667
Burnley,0.6661
Halesowen and Rowley Regis,0.6659
"Plymouth, Moor View",0.6644
Stockton North,0.6632
Sheffield South East,0.6632
Brigg and Goole,0.6623
Telford,0.6619
Middlesbrough,0.6608
Tamworth,0.6599
Easington,0.6596
Hyndburn,0.6582
North West Norfolk,0.6578
Broxbourne,0.6553
Gravesham,0.6538
Sittingbourne and Sheppey,0.6536
Amber Valley,0.653
Middlesbrough South and East Cleveland,0.6527
Bexleyheath and Crayford,0.6526
South Staffordshire,0.6524
North Thanet,0.6518
Makerfield,0.6491
Stoke-on-Trent Central,0.6485
Burton,0.6479
Bognor Regis and Littlehampton,0.6479
Staffordshire Moorlands,0.6469
Nuneaton,0.6451
St Austell and Newquay,0.6406
Dartford,0.6398
Chatham and Aylesford,0.6391
Nottingham North,0.6381
Portsmouth North,0.6369
Rochester and Strood,0.6369
Stourbridge,0.6366
East Yorkshire,0.6366
